grams,yardage,yarn_weight_wpi,ratio
50.0,107.0,11,2.14
50.0,155.0,14,3.1
50.0,91.0,8,1.82
100.0,197.0,8,1.97
50.0,93.0,8,1.86
50.0,131.0,12,2.62
170.0,320.0,8,1.8823529411764706
50.0,185.0,12,3.7
50.0,98.0,7,1.96
100.0,328.0,12,3.28
115.0,420.0,14,3.652173913043478
113.0,434.0,14,3.84070796460177
50.0,182.0,14,3.64
100.0,145.0,7,1.45
100.0,350.0,12,3.5
25.0,120.0,14,4.8
100.0,270.0,11,2.7
50.0,145.0,12,2.9
50.0,90.0,8,1.8
100.0,260.0,11,2.6
113.0,207.0,8,1.831858407079646
80.0,167.0,11,2.0875
50.0,142.0,8,2.84
70.0,125.0,9,1.7857142857142858
50.0,98.0,8,1.96
50.0,150.0,11,3.0
100.0,383.0,14,3.83
50.0,194.0,14,3.88
141.0,250.0,8,1.7730496453900708
50.0,145.0,12,2.9
50.0,130.0,11,2.6
50.0,197.0,14,3.94
100.0,185.0,8,1.85
55.0,200.0,11,3.6363636363636362
50.0,122.0,11,2.44
50.0,157.0,9,3.14
50.0,98.0,8,1.96
100.0,121.0,7,1.21
50.0,110.0,9,2.2
50.0,123.0,12,2.46
100.0,139.0,8,1.39
100.0,240.0,8,2.4
100.0,459.0,14,4.59
50.0,136.0,11,2.72
114.0,186.0,8,1.631578947368421
50.0,175.0,11,3.5
50.0,191.0,11,3.82
100.0,205.0,11,2.05
85.0,148.0,8,1.7411764705882353
40.0,77.0,7,1.925
100.0,235.0,9,2.35
50.0,130.0,12,2.6
50.0,114.0,11,2.28
100.0,295.0,11,2.95
50.0,219.0,14,4.38
100.0,437.0,14,4.37
56.0,190.0,12,3.392857142857143
50.0,109.0,11,2.18
100.0,328.0,11,3.28
100.0,273.0,11,2.73
100.0,120.0,7,1.2
50.0,142.0,12,2.84
100.0,170.0,8,1.7
100.0,390.0,14,3.9
50.0,115.0,9,2.3
100.0,284.0,12,2.84
227.0,550.0,12,2.4229074889867843
115.0,400.0,14,3.4782608695652173
50.0,91.0,8,1.82
100.0,218.0,8,2.18
50.0,126.0,8,2.52
50.0,98.0,12,1.96
113.0,255.0,8,2.256637168141593
400.0,875.0,8,2.1875
100.0,618.0,14,6.18
50.0,153.0,12,3.06
100.0,437.0,14,4.37
50.0,131.0,11,2.62
50.0,137.0,9,2.74
25.0,125.0,11,5.0
50.0,102.0,8,2.04
100.0,393.0,14,3.93
50.0,164.0,12,3.28
100.0,328.0,12,3.28
100.0,182.0,8,1.82
85.0,93.0,7,1.0941176470588236
100.0,262.0,11,2.62
100.0,164.0,8,1.64
50.0,137.0,9,2.74
50.0,145.0,11,2.9
50.0,131.0,12,2.62
50.0,120.0,11,2.4
50.0,66.0,7,1.32
100.0,262.0,11,2.62
50.0,215.0,14,4.3
50.0,131.0,9,2.62
100.0,109.0,7,1.09
50.0,191.0,14,3.82
340.0,649.0,8,1.9088235294117648
100.0,440.0,14,4.4
100.0,437.0,14,4.37
100.0,437.0,14,4.37
100.0,186.0,8,1.86
100.0,459.0,14,4.59
50.0,86.0,8,1.72
50.0,110.0,9,2.2
100.0,110.0,7,1.1
50.0,90.0,8,1.8
50.0,99.0,8,1.98
50.0,74.0,8,1.48
113.0,385.0,14,3.4070796460176993
100.0,240.0,11,2.4
100.0,416.0,14,4.16
50.0,218.0,14,4.36
141.0,235.0,8,1.6666666666666667
50.0,105.0,11,2.1
10.0,28.0,11,2.8
227.0,660.0,11,2.907488986784141
50.0,82.0,8,1.64
50.0,286.0,14,5.72
50.0,65.0,8,1.3
100.0,219.0,8,2.19
50.0,164.0,14,3.28
100.0,384.0,14,3.84
284.0,658.0,8,2.316901408450704
100.0,127.0,8,1.27
115.0,220.0,9,1.9130434782608696
100.0,430.0,14,4.3
340.0,608.0,9,1.7882352941176471
115.0,420.0,14,3.652173913043478
115.0,375.0,14,3.260869565217391
100.0,437.0,14,4.37
100.0,436.0,14,4.36
50.0,80.0,7,1.6
100.0,273.0,8,2.73
100.0,370.0,14,3.7
50.0,128.0,11,2.56
200.0,436.0,11,2.18
100.0,410.0,14,4.1
50.0,136.0,12,2.72
100.0,165.0,7,1.65
